id,spectrum,eV
79,59.5913:14171.719 66.0347:3781.964 78.4734:2231.533 83.057:1375.1805 83.0611:97097.67 96.8674:6743.44 100.2243:2087.329 103.8784:2277.2673 107.061:20225.482 111.2929:2482.4 124.0873:937019.4 138.7362:2722.184 139.2402:2211.38 142.0093:2229.27,30
79,55.0153:70056.37 60.8917:181403.8 66.0347:220124.84 78.9335:68275.13 82.4754:68181.99 83.0611:7998202.0 107.0609:1355774.0 124.063:188728.58 124.0683:517444.2 124.0722:300284.25 124.0873:74156664.0 124.1024:420796.62 124.106:537423.25 124.1115:152561.47 125.0715:98991.76 138.1484:69198.37 139.9191:71680.66,30
79,60.8898:5134.359 65.8524:2279.6018 74.5571:2492.9824 74.579:2473.8313 82.3891:2253.0325 83.0611:41508.62 107.0609:12497.552 114.5261:2261.6 114.8138:2094.0356 124.0398:3528.483 124.0873:384524.5,30
79,59.5965:9469.811 59.5997:3298.6106 68.5988:2037.3333 68.668:2109.661 76.6722:2130.2837 83.0611:81450.55 96.8614:2723.369 96.8667:6035.4565 107.0609:16919.877 124.0873:795695.94,30
79,50.9421:2334.8525 60.9571:2541.0679 60.9597:2483.4282 83.0561:4786.059 83.0611:106635.39 95.3576:2047.4427 96.8664:3663.358 107.0611:22136.21 124.0685:6281.628 124.0873:959124.56,30
79,56.9894:2117.6667 60.9031:3400.6272 69.6363:2269.0483 82.9192:2238.7861 83.061:15052.218 103.6536:2012.6398 107.061:3639.192 124.0782:2873.0635 124.0872:108364.516 124.0968:2744.4146 126.2777:2455.6604 141.9512:2169.2822,30
79,56.2364:1930.7378 57.2559:2337.7102 59.3569:2210.3735 60.6304:3204.4468 60.6331:3674.9624 66.0348:3682.6064 66.2586:2209.1628 83.0561:4335.877 83.0611:107711.5 84.7866:2525.4053 85.124:2406.7656 96.8643:4852.0806 107.061:21287.43 124.0873:1025451.94 124.2877:2276.0325,30
84,58.0618:6456.656 58.0661:394999.66 58.0691:5400.3706 59.0739:547090.5 59.0761:10051.276 59.077:9054.539 61.5856:4491.159 62.583:4083.268 72.0816:45724.227 74.0972:13312.765 79.4585:4940.1245 86.0971:28523.639 87.0584:4134.1255 100.1127:89938.92 103.0642:5225.7373 118.069:18436.605 118.0733:10824.13 118.0866:2682750.5 118.104:21488.342 118.1151:4428.5566 118.123:161873.64 118.1292:4596.1064 121.7388:4232.5596 126.7165:4326.755,30
84,55.0553:12760.798 56.0503:9055.081 56.9053:5659.1494 58.0661:444036.56 59.0708:13887.36 59.0739:492365.94 59.077:10831.969 61.5836:8934.196 66.8066:5828.5356 70.066:21994.398 70.7372:5410.2437 72.0816:1001945.94 73.0657:13872.466 74.0608:9640.326 74.0929:9417.741 74.0972:348717.56 74.1015:9978.901 76.0764:12485.222 80.1496:6937.3223 86.0971:1083346.8 90.092:45735.027 100.1126:2080520.8 101.1205:179982.84 102.8994:6130.652 118.0867:2703231.8 118.1051:27996.332 118.1094:25464.598 118.123:3860961.8 118.1404:30322.41 118.1608:8850.086 118.2477:5654.23 124.5387:6787.9087,30
89,61.5871:2987.1997 68.983:18282.725 69.0457:20792.443 82.0146:7629.347 83.0612:4252.4697 86.9934:39962.914 86.9988:2466.7058 87.0046:9356.147 90.994:1961.9327 93.0452:7369.079 96.535:2177.5261 100.0249:45247.68 105.0038:67250.55 110.0607:28400.422 110.0718:176052.19 118.0354:23735.494 120.2846:2200.7708 123.0142:18915.465 128.0193:5462.2075,30
